"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 19 23:56:05 GMT 2022","Sat Nov 19 23:56:06 GMT 2022","306","","Endereco","","","","GET - Teste listar endereco por país inexistente retorna objeto vazio",""
"passed","Sat Nov 19 23:56:05 GMT 2022","Sat Nov 19 23:56:05 GMT 2022","314","","Endereco","","","","GET - Teste listar endereco com idEndereco inexistente retorna mensagem '{idEndereco} não encontrado'",""
"passed","Sat Nov 19 23:56:14 GMT 2022","Sat Nov 19 23:56:14 GMT 2022","187","","Pessoa","","","","GET - Teste Buscar Lista Completa Passando idPessoa Inexistente Retorna Vazio ",""
"passed","Sat Nov 19 23:56:01 GMT 2022","Sat Nov 19 23:56:01 GMT 2022","321","","Contato","","","","PUT - Teste atualizar contato",""
"passed","Sat Nov 19 23:56:14 GMT 2022","Sat Nov 19 23:56:14 GMT 2022","248","","Pessoa","","","","GET - Teste Buscar Lista De Enderecos Passando idPessoa Inexistente Retorna Codigo 404",""
"passed","Sat Nov 19 23:56:13 GMT 2022","Sat Nov 19 23:56:13 GMT 2022","179","","Pessoa","","","","PUT - Atualizar Pessoa Passando Id Inexistente Retorna Codigo 404",""
"passed","Sat Nov 19 23:56:13 GMT 2022","Sat Nov 19 23:56:13 GMT 2022","64","","Pessoa","","","","POST - Adicionar pessoa sem preencher nome retorna codigo 400",""
"passed","Sat Nov 19 23:56:00 GMT 2022","Sat Nov 19 23:56:00 GMT 2022","248","","Contato","","","","DELETE - Teste deletar contato",""
"passed","Sat Nov 19 23:56:00 GMT 2022","Sat Nov 19 23:56:00 GMT 2022","226","","Contato","","","","POST - Teste adicionar contato",""
"passed","Sat Nov 19 23:56:20 GMT 2022","Sat Nov 19 23:56:20 GMT 2022","111","","Contratos Endereco","","","","Contrato - Validar contrato lista todos os enderecos",""
"passed","Sat Nov 19 23:56:00 GMT 2022","Sat Nov 19 23:56:01 GMT 2022","357","","Contato","","","","DELETE - Teste deletar contato com idContato inexistente retorna codigo 404",""
"passed","Sat Nov 19 23:56:11 GMT 2022","Sat Nov 19 23:56:12 GMT 2022","640","","Pessoa","","","","GET - Teste retornar lista com enderecos sem passar idPessoa",""
"passed","Sat Nov 19 23:56:07 GMT 2022","Sat Nov 19 23:56:08 GMT 2022","306","","Endereco","","","","DELETE - Teste deletar endereco por idEndereco inexistente retorna '{idEndereco} não encontrado'",""
