"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 19 20:34:59 BRT 2022","Sat Nov 19 20:34:59 BRT 2022","332","","Endereco","","","","GET - Teste listar enderecos por pagina",""
"passed","Sat Nov 19 20:35:06 BRT 2022","Sat Nov 19 20:35:06 BRT 2022","67","","Pessoa","","","","GET - Teste buscar pessoa com nome não cadastrado retorna vazio ",""
"passed","Sat Nov 19 20:34:58 BRT 2022","Sat Nov 19 20:34:58 BRT 2022","324","","Endereco","","","","GET - Teste listar endereco com idEndereco inexistente retorna mensagem '{idEndereco} não encontrado'",""
"passed","Sat Nov 19 20:34:55 BRT 2022","Sat Nov 19 20:34:55 BRT 2022","331","","Contato","","","","GET - Teste listar contato por idPessoa",""
"passed","Sat Nov 19 20:34:57 BRT 2022","Sat Nov 19 20:34:58 BRT 2022","315","","Endereco","","","","GET - Teste listar endereco por idEndereco",""
"passed","Sat Nov 19 20:35:10 BRT 2022","Sat Nov 19 20:35:10 BRT 2022","104","","Contratos Contato","","","","Contrato - Validar contrato lista contato",""
"passed","Sat Nov 19 20:35:05 BRT 2022","Sat Nov 19 20:35:05 BRT 2022","138","","Pessoa","","","","DELETE - Teste deletar pessoa",""
"passed","Sat Nov 19 20:35:16 BRT 2022","Sat Nov 19 20:35:16 BRT 2022","75","","Contratos Pessoa","","","","Contrato - Validar contrato lista pessoas por pagina",""
"passed","Sat Nov 19 20:35:10 BRT 2022","Sat Nov 19 20:35:10 BRT 2022","205","","Contratos Contato","","","","Contrato - Validar contrato lista todos os enderecos",""
"passed","Sat Nov 19 20:35:07 BRT 2022","Sat Nov 19 20:35:07 BRT 2022","189","","Pessoa","","","","GET - Teste Buscar Lista De Enderecos Passando idPessoa Inexistente Retorna Codigo 404",""
"passed","Sat Nov 19 20:35:00 BRT 2022","Sat Nov 19 20:35:00 BRT 2022","312","","Endereco","","","","DELETE - Teste deletar endereco por idEndereco inexistente retorna '{idEndereco} não encontrado'",""
"passed","Sat Nov 19 20:35:06 BRT 2022","Sat Nov 19 20:35:06 BRT 2022","190","","Pessoa","","","","GET - Teste Buscar Relatorio Passando idPessoa Inexistente Retorna Vazio ",""
"passed","Sat Nov 19 20:35:00 BRT 2022","Sat Nov 19 20:35:01 BRT 2022","195","","Endereco","","","","POST - Teste adicionar endereco com sucesso",""
"passed","Sat Nov 19 20:34:54 BRT 2022","Sat Nov 19 20:34:54 BRT 2022","325","","Contato","","","","PUT - Teste atualizar contato",""
"passed","Sat Nov 19 20:34:53 BRT 2022","Sat Nov 19 20:34:53 BRT 2022","67","","Contato","","","","POST - Teste adicionar contato com idPessoa inválido retorna codigo 400",""
"passed","Sat Nov 19 20:35:06 BRT 2022","Sat Nov 19 20:35:06 BRT 2022","186","","Pessoa","","","","PUT - Atualizar Pessoa Passando Id Inexistente Retorna Codigo 404",""
"failed","Sat Nov 19 20:35:16 BRT 2022","Sat Nov 19 20:35:16 BRT 2022","334","","Contratos Pessoa","","","","Contrato - Validar contrato lista relatorio",""
"passed","Sat Nov 19 20:35:03 BRT 2022","Sat Nov 19 20:35:04 BRT 2022","305","","Pessoa","","","","GET - Teste lista com enderecos",""
"passed","Sat Nov 19 20:35:03 BRT 2022","Sat Nov 19 20:35:03 BRT 2022","194","","Pessoa","","","","GET - Teste lista completa",""
"passed","Sat Nov 19 20:35:06 BRT 2022","Sat Nov 19 20:35:06 BRT 2022","67","","Pessoa","","","","POST - Adicionar pessoa sem preencher nome retorna codigo 400",""
"passed","Sat Nov 19 20:35:00 BRT 2022","Sat Nov 19 20:35:00 BRT 2022","247","","Endereco","","","","DELETE - Teste deletar endereco por idEndereco",""
"passed","Sat Nov 19 20:35:04 BRT 2022","Sat Nov 19 20:35:04 BRT 2022","643","","Pessoa","","","","GET - Teste retornar lista com enderecos sem passar idPessoa",""
"passed","Sat Nov 19 20:35:05 BRT 2022","Sat Nov 19 20:35:05 BRT 2022","709","","Pessoa","","","","GET - Teste retorna lista com contatos sem passar idPessoa",""
"passed","Sat Nov 19 20:35:16 BRT 2022","Sat Nov 19 20:35:17 BRT 2022","558","","Contratos Pessoa","","","","Contrato - Validar contrato lista contatos",""
"failed","Sat Nov 19 20:35:12 BRT 2022","Sat Nov 19 20:35:13 BRT 2022","286","","Contratos Endereco","","","","Contrato - Validar contrato lista endereco",""
"passed","Sat Nov 19 20:34:54 BRT 2022","Sat Nov 19 20:34:55 BRT 2022","300","","Contato","","","","PUT - Teste atualizar contato com idContato inexistente retorna mensagem '{idContato} não encontrado'",""
"passed","Sat Nov 19 20:35:16 BRT 2022","Sat Nov 19 20:35:16 BRT 2022","100","","Contratos Pessoa","","","","Contrato - Validar contrato lista byname",""
